bucket,key,size_bytes,created,owner,policy_id
finance-bucket,engineering-bucket/builds/artifact_1.jar,8692668847,2020-03-31T19:24:28Z,Support,POL-IT-5Y
finance-bucket,hr-bucket/files/employee_2.docx,4778755448,2025-12-11T16:59:06Z,Engineering,POL-LGL-7Y
engineering-bucket,sales-bucket/presentations/deck_3.pptx,9422626761,2025-05-07T05:19:16Z,Legal,POL-MKT-3Y
hr-bucket,hr-bucket/files/employee_4.docx,11010785650,2024-04-25T02:00:22Z,Operations,POL-ENG-3Y
finance-bucket,hr-bucket/files/employee_5.docx,15368611642,2022-06-22T23:06:09Z,Support,POL-SAL-2Y
hr-bucket,analytics-bucket/raw/events_6.parquet,9304605767,2022-11-01T22:04:41Z,Finance,POL-IT-5Y
support-bucket,engineering-bucket/builds/artifact_7.jar,184440896,2023-06-17T10:06:11Z,Marketing,POL-IT-5Y
hr-bucket,engineering-bucket/builds/artifact_8.jar,9265432219,2023-11-04T05:16:16Z,IT,POL-SAL-2Y
sales-bucket,analytics-bucket/raw/events_9.parquet,17657939454,2025-10-11T23:43:56Z,Support,POL-SAL-2Y
engineering-bucket,analytics-bucket/raw/events_10.parquet,9262173533,2020-07-28T21:48:48Z,Finance,POL-OPS-2Y
legal-bucket,analytics-bucket/raw/events_11.parquet,4096564431,2022-01-20T15:59:30Z,Engineering,POL-LGL-7Y
analytics-bucket,legal-bucket/contracts/agreement_12.pdf,1132009839,2021-05-31T23:18:22Z,Legal,POL-LGL-7Y
finance-bucket,hr-bucket/files/employee_13.docx,13658928487,2025-12-11T01:19:31Z,Engineering,POL-LGL-7Y
legal-bucket,support-bucket/tickets/case_14.json,6702486255,2025-07-27T18:44:16Z,Finance,POL-MKT-3Y
data-lake-bucket,hr-bucket/files/employee_15.docx,8912487987,2022-04-01T16:13:20Z,Sales,POL-SAL-2Y
marketing-bucket,legal-bucket/contracts/agreement_16.pdf,14917401691,2024-06-21T11:50:59Z,Legal,POL-MKT-3Y
hr-bucket,finance-bucket/reports/invoice_17.pdf,3290756325,2020-07-15T07:35:46Z,Marketing,POL-MKT-3Y
sales-bucket,legal-bucket/contracts/agreement_18.pdf,15701879732,2024-06-28T10:05:12Z,Marketing,POL-OPS-2Y
devops-bucket,sales-bucket/presentations/deck_19.pptx,5522439853,2021-08-27T18:56:15Z,Operations,POL-SUP-1Y
hr-bucket,support-bucket/tickets/case_20.json,14337328543,2025-09-01T18:30:00Z,Analytics,POL-SUP-1Y
support-bucket,hr-bucket/files/employee_21.docx,12225442923,2025-11-13T00:05:49Z,IT,POL-SUP-1Y
finance-bucket,analytics-bucket/raw/events_22.parquet,2934724554,2023-08-23T21:23:45Z,Engineering,POL-SAL-2Y
devops-bucket,legal-bucket/contracts/agreement_23.pdf,8327061387,2021-10-24T03:14:25Z,Sales,POL-MKT-3Y
support-bucket,sales-bucket/presentations/deck_24.pptx,15507025504,2023-08-10T04:15:37Z,HR,POL-ANL-1Y
data-lake-bucket,marketing-bucket/assets/2023/brand_logo_25.png,9433709532,2020-06-19T14:04:04Z,IT,POL-ENG-3Y
hr-bucket,finance-bucket/reports/invoice_26.pdf,15548064524,2021-04-18T09:05:49Z,Finance,POL-SUP-1Y
legal-bucket,support-bucket/tickets/case_27.json,4310581813,2023-07-01T14:11:22Z,Analytics,POL-ENG-3Y
analytics-bucket,marketing-bucket/assets/2023/brand_logo_28.png,8942909196,2023-08-15T04:15:34Z,Sales,POL-HR-5Y
support-bucket,engineering-bucket/builds/artifact_29.jar,4715363792,2025-06-26T05:01:27Z,IT,POL-FIN-7Y
sales-bucket,engineering-bucket/builds/artifact_30.jar,13380215582,2021-01-02T08:22:33Z,Finance,POL-FIN-7Y
data-lake-bucket,sales-bucket/presentations/deck_31.pptx,18682283494,2022-09-01T00:17:30Z,Engineering,POL-ENG-3Y
marketing-bucket,legal-bucket/contracts/agreement_32.pdf,12299368365,2023-03-12T18:59:33Z,Engineering,POL-IT-5Y
legal-bucket,marketing-bucket/assets/2023/brand_logo_33.png,8484425983,2024-03-26T23:09:50Z,Marketing,POL-MKT-3Y
analytics-bucket,legal-bucket/contracts/agreement_34.pdf,4920049528,2024-08-25T20:50:08Z,Support,POL-ENG-3Y
marketing-bucket,analytics-bucket/raw/events_35.parquet,9788748311,2021-01-26T04:12:04Z,Operations,POL-ANL-1Y
marketing-bucket,marketing-bucket/assets/2023/brand_logo_36.png,11821936209,2025-05-03T00:47:55Z,Support,POL-LGL-7Y
engineering-bucket,support-bucket/tickets/case_37.json,8828922068,2022-08-05T11:17:44Z,Operations,POL-OPS-2Y
sales-bucket,marketing-bucket/assets/2023/brand_logo_38.png,8092447061,2021-08-25T07:02:17Z,Support,POL-OPS-2Y
devops-bucket,engineering-bucket/builds/artifact_39.jar,2330424911,2020-09-27T22:57:14Z,Legal,POL-SUP-1Y
devops-bucket,analytics-bucket/raw/events_40.parquet,16527904372,2024-04-18T21:56:25Z,Sales,POL-FIN-7Y
hr-bucket,finance-bucket/reports/invoice_41.pdf,3796301014,2021-01-02T22:33:35Z,Finance,POL-SAL-2Y
finance-bucket,analytics-bucket/raw/events_42.parquet,8330358571,2025-08-16T08:28:47Z,Operations,POL-FIN-7Y
sales-bucket,hr-bucket/files/employee_43.docx,9030082555,2020-04-06T02:00:31Z,HR,POL-LGL-7Y
finance-bucket,analytics-bucket/raw/events_44.parquet,5256928804,2023-11-21T08:06:58Z,Operations,POL-ENG-3Y
